OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP,timestamp
2024-04-18,3,0,CATALYST_7_N002,CATALYST_7_N002,CATALYST_7_N002,DAM,LMP,LMP_PRC,CATALYST_7_N002,ALL,1,30.52499,11,2024-04-17 22:59:25.919365
2024-04-18,20,0,CATALYST_7_N002,CATALYST_7_N002,CATALYST_7_N002,DAM,LMP,LMP_PRC,CATALYST_7_N002,ALL,1,53.03554,11,2024-04-17 22:59:25.919365
2024-04-18,23,0,CATALYST_7_N002,CATALYST_7_N002,CATALYST_7_N002,DAM,LMP,LMP_PRC,CATALYST_7_N002,ALL,1,36.14823,11,2024-04-17 22:59:25.919365
2024-04-18,23,0,CATALYST_7_N002,CATALYST_7_N002,CATALYST_7_N002,DAM,MCC,LMP_CONG_PRC,CATALYST_7_N002,ALL,1,-2.01651,12,2024-04-17 22:59:25.919365
2024-04-18,2,0,CATALYST_7_N002,CATALYST_7_N002,CATALYST_7_N002,DAM,MCC,LMP_CONG_PRC,CATALYST_7_N002,ALL,1,0.0,12,2024-04-17 22:59:25.919365
2024-04-18,14,0,CATALYST_7_N002,CATALYST_7_N002,CATALYST_7_N002,DAM,MCC,LMP_CONG_PRC,CATALYST_7_N002,ALL,1,25.34885,12,2024-04-17 22:59:25.919365
2024-04-18,4,0,CATALYST_7_N002,CATALYST_7_N002,CATALYST_7_N002,DAM,MCC,LMP_CONG_PRC,CATALYST_7_N002,ALL,1,0.0,12,2024-04-17 22:59:25.919365
2024-04-18,1,0,CATALYST_7_N002,CATALYST_7_N002,CATALYST_7_N002,DAM,MCC,LMP_CONG_PRC,CATALYST_7_N002,ALL,1,0.0,12,2024-04-17 22:59:25.919365
2024-04-18,24,0,CATALYST_7_N002,CATALYST_7_N002,CATALYST_7_N002,DAM,MCC,LMP_CONG_PRC,CATALYST_7_N002,ALL,1,0.0,12,2024-04-17 22:59:25.919365
2024-04-18,20,0,CATALYST_7_N002,CATALYST_7_N002,CATALYST_7_N002,DAM,MCC,LMP_CONG_PRC,CATALYST_7_N002,ALL,1,-4.90326,12,2024-04-17 22:59:25.919365
2024-04-18,13,0,CATALYST_7_N002,CATALYST_7_N002,CATALYST_7_N002,DAM,MCC,LMP_CONG_PRC,CATALYST_7_N002,ALL,1,14.45487,12,2024-04-17 22:59:25.919365
2024-04-18,18,0,CATALYST_7_N002,CATALYST_7_N002,CATALYST_7_N002,DAM,MCC,LMP_CONG_PRC,CATALYST_7_N002,ALL,1,20.32699,12,2024-04-17 22:59:25.919365
2024-04-18,21,0,CATALYST_7_N002,CATALYST_7_N002,CATALYST_7_N002,DAM,MCC,LMP_CONG_PRC,CATALYST_7_N002,ALL,1,-3.32374,12,2024-04-17 22:59:25.919365
2024-04-18,15,0,CATALYST_7_N002,CATALYST_7_N002,CATALYST_7_N002,DAM,MCC,LMP_CONG_PRC,CATALYST_7_N002,ALL,1,17.44374,12,2024-04-17 22:59:25.919365
2024-04-18,17,0,CATALYST_7_N002,CATALYST_7_N002,CATALYST_7_N002,DAM,MCC,LMP_CONG_PRC,CATALYST_7_N002,ALL,1,16.43677,12,2024-04-17 22:59:25.919365
